Dataset,AutoML,AutoRecSys,Baseline,ML,RecSys,Total
yelp,5 (71.43%),0 (0.00%),0 (0.00%),4 (14.29%),8 (34.78%),17 (28.33%)
amazon-toys-and-games,2 (28.57%),0 (0.00%),0 (0.00%),3 (10.71%),5 (21.74%),10 (16.67%)
amazon-digital-music,0 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%)
amazon-electronics,0 (0.00%),0 (0.00%),0 (0.00%),3 (10.71%),6 (26.09%),9 (15.00%)
movielens-100K,0 (0.00%),0 (0.00%),0 (0.00%),1 (3.57%),0 (0.00%),1 (1.67%)
amazon-movies-and-tv,1 (14.29%),0 (0.00%),0 (0.00%),3 (10.71%),5 (21.74%),9 (15.00%)
movielens-1M,2 (28.57%),0 (0.00%),0 (0.00%),3 (10.71%),0 (0.00%),5 (8.33%)
movielens-latest-small,0 (0.00%),0 (0.00%),0 (0.00%),1 (3.57%),0 (0.00%),1 (1.67%)
