Model,RMSE_RANK,RMSE
AutoSurprise,3.5714285714285716,0.900138696432321
FLAML_Regressor,7.142857142857143,0.9097257875996801
H2O_AutoML,7.214285714285714,0.9040409180678519
Surprise_SVDpp,8.071428571428571,0.9282729216905519
lenskit_FunkSVD,9.357142857142858,0.9429900873361137
lenskit_BiasedSVD,11.178571428571429,0.9141445281584628
Surprise_SingularValueDecompositionAlgorithm,11.285714285714286,0.9422143440340165
Surprise_BaselineOnly,13.071428571428571,0.9783433121677688
lenskit_ALSBiasedMF,13.571428571428571,0.9434363108223548
XGBoostRegressor,15.5,0.9513782100090079
